name,player_id,team,position
Jefferson Lerma Solís,67,BOU,MID
Lewis Cook,70,BOU,MID
Rúben Gato Alves Dias,349,MCI,DEF
Matija Šarkić,552,WOL,GK
Jamal Lowe,64,BOU,MID
Jay Stansfield,244,FUL,FWD
Sepp van den Berg,335,LIV,DEF
Neeskens Kebano,229,FUL,MID
Jack Colback,423,NFO,MID
Benjamin White,9,ARS,DEF
Hwang Hee-chan,541,WOL,MID
Rayan Aït-Nouri,547,WOL,DEF
Kieffer Moore,65,BOU,FWD
Emerson Leite de Souza Junior,498,TOT,DEF
Cédric Alves Soares,1,ARS,DEF
Marc Cucurella Saseta,124,BHA,DEF
Josh Wilson-Esbrand,357,MCI,DEF
Junior Stanislas,61,BOU,MID
Brennan Johnson,436,NFO,FWD
Javier Manquillo Gaitán,403,NEW,DEF
Bruno Borges Fernandes,369,MUN,MID
Philip Billing,73,BOU,MID
Sam Surridge,433,NFO,FWD
Bernardo Veiga de Carvalho e Silva,348,MCI,MID
Antonee Robinson,242,FUL,DEF
Tosin Adarabioyo,234,FUL,DEF
Jackson Smith,557,WOL,GK
Gabriel Martinelli Silva,18,ARS,MID
Aleksandar Mitrović,235,FUL,FWD
Pablo Marí Villar,19,ARS,DEF
Sam Johnstone,193,CRY,GK
Rodrigo Muniz Carvalho,243,FUL,FWD
Jaidon Anthony,78,BOU,MID
Jack Stacey,68,BOU,DEF
Emiliano Marcondes,66,BOU,MID
Solly March,119,BHA,MID
Harry Wilson,237,FUL,MID
Adama Traoré Diarra,551,WOL,MID
Ricardo Barbosa Pereira,258,LEI,DEF
Luke Mbete-Tabu,356,MCI,DEF
João Cancelo,343,MCI,DEF
Luke Harris,249,FUL,MID
Adam Smith,60,BOU,DEF
Son Heung-min,481,TOT,MID
Diogo Dalot Teixeira,378,MUN,DEF
Tom Cairney,225,FUL,MID
Mohamed Dräger,428,NFO,DEF
Oliver Hammond,449,NFO,MID
Hugo Bueno López,558,WOL,DEF
Dele Alli,203,EVE,MID
Lloyd Kelly,76,BOU,DEF
Cheick Doucouré,196,CRY,MID
Luke Plange,195,CRY,FWD
Tyrese Francois,247,FUL,MID
Ryan Christie,72,BOU,MID
Gabriel dos Santos Magalhães,15,ARS,DEF
Jordan Zemura,79,BOU,DEF
Joe Willock,413,NEW,MID
Joe Worrall,430,NFO,DEF
Fin Stevens,111,BRE,DEF
Kaoru Mitoma,136,BHA,MID
Alex Mighten,437,NFO,MID
Rúben da Silva Neves,540,WOL,MID
Emiliano Martínez Romero,31,AVL,GK
Jeremy Sarmiento Morante,131,BHA,MID
Ivan Neves Abreu Cavaleiro,239,FUL,MID
Moussa Niakhaté,442,NFO,DEF
Dominic Solanke,69,BOU,FWD
Ben Pearson,71,BOU,MID
Bobby De Cordova-Reid,230,FUL,MID
Loïc Mbe Soh,435,NFO,DEF
Paulo Gazzaniga Farias,232,FUL,GK
Ryan Yates,429,NFO,MID
Facundo Pellistri Rebollo,382,MUN,MID
James Hill,83,BOU,DEF
Daniel Iversen,276,LEI,GK
Tim Ream,226,FUL,DEF
Braian Ojeda Rodríguez,438,NFO,MID
Luis Sinisterra Lucumí,306,LEE,MID
Kaine Kesler Hayden,58,AVL,DEF
Jan Paul van Hecke,141,BHA,DEF
Calvin Ramsay,331,LIV,DEF
Marek Rodák,238,FUL,GK
Joe Bryan,231,FUL,DEF
Zidane Iqbal,388,MUN,MID
Sergi Canós Tenés,88,BRE,DEF
Djed Spence,509,TOT,DEF
Junior Firpo Adames,296,LEE,DEF
Lyle Taylor,422,NFO,FWD
Siriki Dembélé,77,BOU,MID
Lucas Torreira di Pascua,21,ARS,MID
Scott McKenna,427,NFO,DEF
Carlos Ribeiro Dias,425,NFO,MID
Chris Mepham,74,BOU,DEF
Harrison Reed,236,FUL,MID
Diogo Teixeira da Silva,322,LIV,FWD
Alex Telles,370,MUN,DEF
Will Dennis,80,BOU,GK
Miguel Almirón Rejala,409,NEW,MID
Matt Clarke,140,BHA,DEF
Ben Chilwell,154,CHE,DEF
Kenny Tete,240,FUL,DEF
David Brooks,63,BOU,MID
Anthony Knockaert,227,FUL,MID
Brice Samba,424,NFO,GK
Mohamed Elneny,3,ARS,MID
Josh Dasilva,89,BRE,MID
Matty Cash,43,AVL,DEF
Terence Kongolo,233,FUL,DEF
Lyanco Silveira Neves Vojnovic,464,SOU,DEF
Mark Travers,75,BOU,GK
Pablo Fornals Malla,525,WHU,MID
Josh Onomah,241,FUL,MID
André Tavares Gomes,206,EVE,MID
Steve Cook,421,NFO,DEF
David De Gea Quintana,363,MUN,GK
Joe Lolley,426,NFO,MID
Troy Parrott,506,TOT,FWD
Eddie Nketiah,10,ARS,FWD
Moisés Caicedo Corozo,132,BHA,MID
